TICKER|COMPANY|TRADES|LAST_PRICE|PRICE_CHANGE
SANB4|Banco Santander|131000|14.80|-1.92
VLID3|Valid|129300|17.70|-1.99
VITT3|Vittia|123300|3.18|+1.27
CMIG3|Cemig|116600|17.35|-1.03
ITSA3|Itaúsa|100400|14.06|-2.09
ROMI3|Indústrias ROMI|98200|5.96|-1.81
ETER3|Eternit|91900|3.71|-2.37
RENT4|Localiza|89500|34.74|-3.50
AZUL3|Azul|87200|18.28|-3.08
TAEE3|Taesa|83100|13.44|-2.11
SAPR3|Sanepar|82700|7.83|-0.51
IGTI3|Iguatemi|81100|3.22|-2.72
IGTI3|Jereissati Participações|81100|3.22|-2.72
SANB3|Banco Santander|79200|14.89|-1.00
EUCA4|Eucatex|75100|20.90|-3.06
TECN3|Technos|74500|9.97|+1.42
PFRM3|Profarma|74300|7.65|-1.03
GOAU3|Metalúrgica Gerdau|72600|10.06|-0.49
ESPA3|Espaçolaser|70500|7.02|-1.96
BRKM3|Braskem|64200|4.27|-0.47
DOTZ3|Dotz|52500|9.57|-4.30
AGXY3|AgroGalaxy|47300|1.25|-2.34
DEXP3|Dexxos|45900|7.55|+0.53
RAPT3|Randon|44200|8.49|-0.12
BSLI3|Banco de Brasília|44100|2.59|+3.60
TCSA3|Tecnisa|44100|0.65|+0.00
ATED3|ATOM EDUCAÇÃO E EDITORA SA|34800|1.23|-3.15
AALR3|Alliança|30700|3.33|+0.91
AERI3|Aeris Energy|30300|2.10|+0.96
CSUD3|CSU Cardsystem|28700|14.02|-1.06
BRAP3|Bradespar|26700|19.49|+0.78
AZEV11|Azevedo & Travassos|24600|0.13|-7.14
BIOM3|Biomm|24200|6.56|-3.39
DMVF3|D1000 Varejo Farma|22400|6.17|-0.96
PDGR3|PDG Realty|22400|1.13|-4.24
GGBR3|Gerdau|14600|21.87|-0.64
TASA3|Taurus|14500|5.89|-0.51
MNPR3|Minupar|14200|4.17|-0.24
RNEW4|Renova Energia|13600|0.85|-1.16
HAGA4|Haga|12000|1.97|+1.03
PDTC3|Padtec|11900|1.64|+1.86
SCAR3|São Carlos|11500|12.90|-0.77
MGEL4|Mangels|11500|5.15|-3.56
LUPA3|Lupatech|11400|3.62|-2.16
EPAR3|Embpar Participações|11000|1.31|-2.96
EQPA3|Equatorial Energia Pará|10900|5.46|-0.73
AMOB3|Automob|10800|11.84|-3.66
BOBR4|Bombril|10100|1.33|-0.75
TPIS3|Triunfo|8700|10.05|+0.90
ALUP4|Alupar|7600|10.86|-1.90
BMEB4|Banco Mercantil do Brasil|7300|61.44|-0.23
CEBR3|CEB|7300|23.60|+0.25
ALPA3|Alpargatas|7300|10.04|+0.40
ENGI4|Energisa|7200|9.64|-1.93
BEES3|Banestes|7200|8.92|+0.11
UCAS3|Unicasa|6900|1.15|-1.71
RNEW3|Renova Energia|6500|0.86|-1.15
WEST3|Westwing|6400|2.85|-1.72
WDCN3|WDC Networks|6300|2.63|-0.75
UNIP3|Unipar|6200|57.09|+1.76
CEBR5|CEB|5600|23.64|-0.17
CGRA4|Grazziotin|5500|22.82|+0.00
BPAC3|Banco BTG Pactual|5300|23.80|+0.00
BRSR3|Banrisul|5300|17.95|+0.96
CAMB3|Cambuci|5100|8.48|-0.12
